ID.S;ID;TIPO;COSTO
O.E.02.P.3.D;E02.P3.D;H;1083.256824
O.E.02.P.3.D.31;;H;361.085608
O.E.02.P.3.D.31.d;E02.P3.D31;H;361.085608
O.E.02.P.3.D.32;;H;361.085608
O.E.02.P.3.D.32.d;E02.P3.D32;H;361.085608
O.E.02.P.3.D.33;;H;361.085608
O.E.02.P.3.D.33.d;E02.P3.D33;H;361.085608
O.E.02.P.3.D.34;;H;361.085608
O.E.02.P.3.D.34.d;E02.P3.D34;H;361.085608
O.E.02.P.3.G;;H;2082.421675
O.E.02.P.3.G.d;E02.P3;H;2082.421675
O.E.02.P.4;;H;1805.428040
O.E.02.P.4.D;E02.P4.D;H;1805.428040
O.E.02.P.4.D.41;;H;361.085608
O.E.02.P.4.D.41.d;E02.P4.D41;H;361.085608
O.E.02.P.4.D.42;;H;361.085608
O.E.02.P.4.D.42.d;E02.P4.D42;H;361.085608
O.E.02.P.4.D.43;;H;361.085608
O.E.02.P.4.D.43.d;E02.P4.D43;H;361.085608
O.E.02.P.4.D.44;;H;361.085608
O.E.02.P.4.D.44.d;E02.P4.D44;H;361.085608
O.E.02.P.4.G;;H;2804.592891
O.E.02.P.4.G.d;E02.P4;H;2804.592891
O.E.03;;H;12803.696510
O.E.03.G;;H;12803.696510
O.E.03.G.d;E03;H;12803.696510
O.E.03.L;E03.L;H;1491.337000
O.E.03.L.1;;H;1491.337000
O.E.03.L.1.d;E03.L1;H;1491.337000
O.E.03.N;E03.N;H;768.547998
O.E.03.N.1;E03.N1;H;768.547998
O.E.03.N.1.C;E03.N1.C;H;768.547998
O.E.03.N.1.C.1;E03.N1.C1;H;128.091333
O.E.03.N.1.C.2;E03.N1.C2;H;128.091333
O.E.03.N.1.C.3;E03.N1.C3;H;128.091333
O.E.03.N.1.C.4;E03.N1.C4;H;128.091333
O.E.03.N.1.C.5;E03.N1.C5;H;128.091333
O.E.03.N.1.C.6;E03.N1.C6;H;128.091333
O.E.03.P;E03.P;H;9740.251512
O.E.03.P.1;;H;2409.729663
O.E.03.P.1.D;E03.P1.D;H;1463.913201
O.E.03.P.1.D.11;;H;361.085608
O.E.03.P.1.D.11.d;E03.P1.D11;H;361.085608
O.E.03.P.1.D.12;;H;361.085608
O.E.03.P.1.D.12.d;E03.P1.D12;H;361.085608
O.E.03.P.1.D.13;;H;380.656377
O.E.03.P.1.D.13.d;E03.P1.D13;H;380.656377
O.E.03.P.1.D.14;;H;361.085608
O.E.03.P.1.D.14.d;E03.P1.D14;H;361.085608
O.E.03.P.1.G;;H;2409.729663
O.E.03.P.1.G.d;E03.P1;H;2409.729663
O.E.03.P.2;;H;2443.507283
O.E.03.P.2.D;E03.P2.D;H;1444.342432
O.E.03.P.2.D.21;;H;361.085608
O.E.03.P.2.D.21.d;E03.P2.D21;H;361.085608
O.E.03.P.2.D.22;;H;361.085608
O.E.03.P.2.D.22.d;E03.P2.D22;H;361.085608
O.E.03.P.2.D.23;;H;361.085608
O.E.03.P.2.D.23.d;E03.P2.D23;H;361.085608
O.E.03.P.2.D.24;;H;361.085608
O.E.03.P.2.D.24.d;E03.P2.D24;H;361.085608
O.E.03.P.2.G;;H;2443.507283
O.E.03.P.2.G.d;E03.P2;H;2443.507283
O.E.03.P.3;;H;2082.421675
O.E.03.P.3.D;E03.P3.D;H;1083.256824
O.E.03.P.3.D.31;;H;361.085608
O.E.03.P.3.D.31.d;E03.P3.D31;H;361.085608
O.E.03.P.3.D.32;;H;361.085608
O.E.03.P.3.D.32.d;E03.P3.D32;H;361.085608
O.E.03.P.3.D.33;;H;361.085608
O.E.03.P.3.D.33.d;E03.P3.D33;H;361.085608
O.E.03.P.3.D.34;;H;361.085608
O.E.03.P.3.D.34.d;E03.P3.D34;H;361.085608
O.E.03.P.3.G;;H;2082.421675
O.E.03.P.3.G.d;E03.P3;H;2082.421675
O.E.03.P.4;;H;1805.428040
O.E.03.P.4.D;E03.P4.D;H;1805.428040
O.E.03.P.4.D.41;;H;361.085608
O.E.03.P.4.D.41.d;E03.P4.D41;H;361.085608
O.E.03.P.4.D.42;;H;361.085608
O.E.03.P.4.D.42.d;E03.P4.D42;H;361.085608
O.E.03.P.4.D.43;;H;361.085608
O.E.03.P.4.D.43.d;E03.P4.D43;H;361.085608
O.E.03.P.4.D.44;;H;361.085608
O.E.03.P.4.D.44.d;E03.P4.D44;H;361.085608
O.E.03.P.4.G;;H;2804.592891
O.E.03.P.4.G.d;E03.P4;H;2804.592891
O.E.04;;H;12803.696510
O.E.04.G;;H;12803.696510
O.E.04.G.d;E04;H;12803.696510
O.E.04.L;E04.L;H;1491.337000
O.E.04.L.1;;H;1491.337000
O.E.04.L.1.d;E04.L1;H;1491.337000
O.E.04.N;E04.N;H;768.547998
